"","emln_id.x","train_layer","test_layer","TP","FN","TN","FP","specificity","precision","recall","f05_score","balanced_accuracy","nse","nnse","layer_comparison","emln_id.y","nrow_A","ncol_A","size_A","density_A","nrow_P","ncol_P","size_P","density_P","nrow_C","ncol_C","size_C","density_C","train_layer_name","test_layer_name","emln_id","jaccard_pollinators","jaccard_plants","jaccard_edges","avg_distance_m","avg_distance_km","distance_km"
"1",60,1,1,19.6,6.4,15.88,10.12,0.610769230769231,0.662926827993801,0.753846153846154,0.67815354758719,0.682307692307692,-0.48901557080959,0.463037160562293,"Single location",60,59,19,78,0.119536128456735,59,19,78,0.119536128456735,59,19,78,0.119536128456735,"Tenerife Teno","Tenerife Teno",60,1,1,1,0,0,0
"2",60,1,2,18.8,8.2,18.68,8.32,0.691851851851852,0.696279274698539,0.696296296296296,0.694480651581728,0.694074074074074,-2.34691515429382,0.407121851186439,"Added location",60,59,19,78,0.119536128456735,68,16,84,0.127757352941176,101,25,126,0.0974257425742574,"Tenerife Teno","Tenerife South",60,0.257425742574257,0.4,0.109756097560976,57464.1820425,57.4641820425,57.4641820425
"3",60,1,3,12.62,8.38,14.32,6.68,0.681904761904762,0.653655554269843,0.600952380952381,0.640031251573254,0.641428571428571,-3.95130399060756,0.39032517308455,"Added location",60,59,19,78,0.119536128456735,50,12,62,0.181666666666667,90,23,113,0.109661835748792,"Tenerife Teno","Gran Canaria",60,0.211111111111111,0.347826086956522,0.0704845814977974,173858.830325,173.858830325,173.858830325
"4",60,1,4,10.6,7.4,12.56,5.44,0.697777777777778,0.662443072922949,0.588888888888889,0.642422595161032,0.643333333333333,-2.46872652847986,0.349531829594376,"Added location",60,59,19,78,0.119536128456735,56,9,65,0.182539682539683,105,24,129,0.0873015873015873,"Tenerife Teno","Fuerteventura",60,0.0952380952380952,0.166666666666667,0.0272727272727273,337055.48055,337.05548055,337.05548055
"5",60,1,5,10.46,10.54,15.9,5.1,0.757142857142857,0.680491187690878,0.498095238095238,0.629714971665,0.627619047619048,-0.378108736326566,0.444118930506135,"Added location",60,59,19,78,0.119536128456735,60,12,72,0.145833333333333,114,26,140,0.0799595141700405,"Tenerife Teno","Western Sahara",60,0.043859649122807,0.192307692307692,0.00843881856540084,389094.179225,389.094179225,389.094179225
"6",60,1,6,12.96,4.04,10.9,6.1,0.641176470588235,0.686602452325497,0.762352941176471,0.698396506736305,0.701764705882353,-3.32248638261111,0.51135853828507,"Added location",60,59,19,78,0.119536128456735,54,11,65,0.148148148148148,95,22,117,0.0971291866028708,"Tenerife Teno","El Hierro",60,0.189473684210526,0.363636363636364,0.0935960591133005,129414.4136,129.4144136,129.4144136
"7",60,1,7,17.3,5.7,14.38,8.62,0.625217391304348,0.671185151209685,0.752173913043478,0.684209823416974,0.688695652173913,-1.25487025153058,0.419908326961099,"Added location",60,59,19,78,0.119536128456735,52,15,67,0.148717948717949,95,23,118,0.104805491990847,"Tenerife Teno","La Gomera",60,0.168421052631579,0.478260869565217,0.091703056768559,52751.492455,52.751492455,52.751492455
"8",60,2,1,20.08,5.92,16.08,9.92,0.618461538461539,0.672680654503085,0.772307692307692,0.689251775497162,0.695384615384615,-0.863934224108823,0.439205759556341,"Added location",60,68,16,84,0.127757352941176,59,19,78,0.119536128456735,101,25,126,0.0974257425742574,"Tenerife South","Tenerife Teno",60,0.257425742574257,0.4,0.109756097560976,57464.1820425,57.4641820425,57.4641820425
"9",60,2,2,17.96,9.04,19.06,7.94,0.705925925925926,0.69726204769518,0.665185185185185,0.68895794475094,0.685555555555556,-1.72790979103026,0.421973958626994,"Single location",60,68,16,84,0.127757352941176,68,16,84,0.127757352941176,68,16,84,0.127757352941176,"Tenerife South","Tenerife South",60,1,1,1,0,0,0
"10",60,2,3,13.76,7.24,13.64,7.36,0.64952380952381,0.656221744642649,0.655238095238095,0.652677787832729,0.652380952380952,-3.66894982156818,0.419588912134349,"Added location",60,68,16,84,0.127757352941176,50,12,62,0.181666666666667,95,21,116,0.11328320802005,"Tenerife South","Gran Canaria",60,0.242105263157895,0.333333333333333,0.0973451327433628,116460.649125,116.460649125,116.460649125
"11",60,2,4,13.76,4.24,10.8,7.2,0.6,0.659315988898853,0.764444444444444,0.676719947731091,0.682222222222222,-3.13596524106657,0.35836061325287,"Added location",60,68,16,84,0.127757352941176,56,9,65,0.182539682539683,110,20,130,0.100909090909091,"Tenerife South","Fuerteventura",60,0.127272727272727,0.25,0.0405405405405405,284225.3518,284.2253518,284.2253518
"12",60,2,5,10.94,10.06,15,6,0.714285714285714,0.651561768980634,0.520952380952381,0.61690967207117,0.617619047619048,-0.322204072553973,0.45776850614104,"Added location",60,68,16,84,0.127757352941176,60,12,72,0.145833333333333,122,22,144,0.0905365126676602,"Tenerife South","Western Sahara",60,0.0491803278688525,0.272727272727273,0.00411522633744856,339381.7762,339.3817762,339.3817762
"13",60,2,6,12.64,4.36,10.44,6.56,0.614117647058824,0.66353025942365,0.743529411764706,0.676485808308749,0.678823529411765,-4.02090628387246,0.498575035982697,"Added location",60,68,16,84,0.127757352941176,54,11,65,0.148148148148148,106,21,127,0.0965858041329739,"Tenerife South","El Hierro",60,0.150943396226415,0.285714285714286,0.0558139534883721,172763.448,172.763448,172.763448
"14",60,2,7,18.18,4.82,12.14,10.86,0.527826086956522,0.630078465278491,0.790434782608696,0.654846774581339,0.659130434782609,-0.805973849070596,0.447722738810072,"Added location",60,68,16,84,0.127757352941176,52,15,67,0.148717948717949,97,21,118,0.115365733922435,"Tenerife South","La Gomera",60,0.237113402061856,0.476190476190476,0.0851063829787234,92999.56344,92.99956344,92.99956344
"15",60,3,1,18.16,7.84,16.2,9.8,0.623076923076923,0.654085727475132,0.698461538461538,0.660417534416618,0.660769230769231,-2.41048369426167,0.345943619917123,"Added location",60,50,12,62,0.181666666666667,59,19,78,0.119536128456735,90,23,113,0.109661835748792,"Gran Canaria","Tenerife Teno",60,0.211111111111111,0.347826086956522,0.0704845814977974,173858.830325,173.858830325,173.858830325
