emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc
60,1,1,13,1,3.8,10.2,0.2714285714285714,0.5629699792960663,0.9285714285714286,0.7001636045598894,0.6,0.2569301569234345
60,1,2,18.2,0.8,2.9,16.1,0.15263157894736842,0.5324174079245073,0.9578947368421052,0.6837835295382465,0.5552631578947368,0.1733488272816378
60,1,3,18,1,2.7,16.3,0.14210526315789473,0.5259462040344394,0.9473684210526315,0.6760422965861368,0.5447368421052632,0.12585867278551052
60,1,4,10.2,3.8,3.7,10.3,0.2642857142857143,0.49880382775119614,0.7285714285714285,0.5916874628639335,0.49642857142857144,-0.011873957804083395
60,1,5,9.8,1.2,1.4,9.6,0.1272727272727273,0.5054720133667502,0.8909090909090909,0.6446885428253615,0.509090909090909,0.012258137337152569
60,1,6,14,1,2,13,0.13333333333333333,0.5195180273111307,0.9333333333333333,0.6671965829594871,0.5333333333333333,0.08932034467596972
60,1,7,9,2,4.7,6.3,0.42727272727272725,0.5914576599870718,0.8181818181818182,0.6856446886446886,0.6227272727272728,0.26434865120209855
60,2,1,13,1,1.4,12.6,0.09999999999999999,0.5089661835748792,0.9285714285714286,0.6571808393759613,0.5142857142857142,0.016428138863416902
60,2,2,15,4,3.4,15.6,0.17894736842105263,0.4918539937210601,0.7894736842105263,0.6056228673107757,0.4842105263157895,-0.05454490911096202
60,2,3,18,1,3,16,0.15789473684210525,0.5309197741076299,0.9473684210526315,0.6800322067869238,0.5526315789473684,0.14813521287096612
60,2,4,13,1,4.3,9.7,0.30714285714285716,0.5749545454545455,0.9285714285714286,0.7095115239078088,0.6178571428571429,0.2942960698115955
60,2,5,9.1,1.9,1.8,9.2,0.16363636363636364,0.49856037151702787,0.8272727272727273,0.6217262566873245,0.4954545454545455,-0.025573855070186245
60,2,6,15,0,0.9,14.1,0.06,0.5157635467980296,1,0.6804439746300212,0.53,0.20899988210144402
60,2,7,11,0,3.5,7.5,0.3181818181818182,0.6020593149540518,1,0.749274799634922,0.6590909090909091,0.4270689746235542
60,3,1,13,1,1.7,12.3,0.12142857142857143,0.5158686868686868,0.9285714285714286,0.6626415632577378,0.525,0.04099934408614832
60,3,2,16.5,2.5,3.8,15.2,0.19999999999999998,0.5223747947454844,0.868421052631579,0.651519318642306,0.5342105263157895,0.0776435069796198
60,3,3,19,0,4.1,14.9,0.2157894736842105,0.5620581338596045,1,0.7191546459518554,0.6078947368421053,0.3424596028882508
60,3,4,14,0,2.3,11.7,0.16428571428571428,0.545920227920228,1,0.705923768144564,0.5821428571428571,0.29028775225011677
60,3,5,8.9,2.1,1.4,9.6,0.12727272727272726,0.4830340557275542,0.8090909090909091,0.6043884739657821,0.4681818181818182,-0.11017792595447179
60,3,6,15,0,1.7,13.3,0.11333333333333333,0.5308587006862869,1,0.6932955681112233,0.5566666666666666,0.25223674245057576
60,3,7,9,2,3.4,7.6,0.3090909090909091,0.5453095975232198,0.8181818181818182,0.6535518504484021,0.5636363636363636,0.13780486178996695
60,4,1,14,0,2.1,11.9,0.15,0.5417179487179488,1,0.7024021592442645,0.575,0.31960989593195593
60,4,2,18,1,3.8,15.2,0.19999999999999998,0.5433425540304098,0.9473684210526315,0.6902562964227781,0.5736842105263158,0.21255113779097912
60,4,3,17,2,4.5,14.5,0.23684210526315788,0.5431841836478933,0.8947368421052632,0.6749184783470498,0.5657894736842105,0.1525972093471808
60,4,4,12,2,3.8,10.2,0.2714285714285714,0.5418464144551101,0.8571428571428571,0.6635788198636495,0.5642857142857143,0.15397256619644203
60,4,5,10,1,1.9,9.1,0.17272727272727273,0.5260848198928694,0.9090909090909091,0.6657205095608878,0.5409090909090909,0.09331822150285007
60,4,6,14,1,2.4,12.6,0.16,0.5288747720157015,0.9333333333333333,0.6743829823538454,0.5466666666666666,0.11561476907744221
60,4,7,10.1,0.9,1.7,9.3,0.15454545454545454,0.521968892820286,0.9181818181818182,0.6651113671274962,0.5363636363636364,0.09532185053348473
60,5,1,13,1,3.2,10.8,0.22857142857142856,0.5477252964426877,0.9285714285714286,0.6885814762130551,0.5785714285714286,0.20991260521386246
60,5,2,18,1,2.6,16.4,0.13684210526315788,0.524272345301757,0.9473684210526315,0.6746954044845277,0.5421052631578948,0.12751685594651516
60,5,3,19,0,2.4,16.6,0.12631578947368421,0.534789742473566,1,0.6965590474802461,0.5631578947368421,0.2490550385958818
60,5,4,13.1,0.9,3,11,0.21428571428571427,0.5448010540184454,0.9357142857142857,0.6882890785522364,0.575,0.20705649392970854
60,5,5,7.3,3.7,2.4,8.6,0.21818181818181817,0.4597703818369453,0.6636363636363636,0.5422311762311762,0.4409090909090909,-0.1364922470987093
60,5,6,14.4,0.6,0.8,14.2,0.05333333333333334,0.5039591315453384,0.96,0.6607520386590154,0.5066666666666667,0.009131721011292587
60,5,7,11,0,2.9,8.1,0.2636363636363636,0.5776148705096074,1,0.7317681683351873,0.6318181818181818,0.3847238685689659
60,6,1,14,0,3.2,10.8,0.22857142857142856,0.5661805231805233,1,0.7225077076681699,0.6142857142857142,0.35333586097551134
60,6,2,15,4,5.2,13.8,0.27368421052631575,0.523144551808345,0.7894736842105263,0.6286325723628952,0.531578947368421,0.06487781981304151
60,6,3,19,0,4.4,14.6,0.23157894736842105,0.5680243876235337,1,0.7237549959451022,0.6157894736842106,0.35184343189369804
60,6,4,12,2,3.8,10.2,0.2714285714285714,0.5457194201679327,0.8571428571428571,0.6653697263604383,0.5642857142857143,0.13108365589221962
60,6,5,9.2,1.8,2.7,8.3,0.24545454545454545,0.5286747506019952,0.8363636363636364,0.6466861429264099,0.5409090909090909,0.08887445591495861
60,6,6,11.7,3.3,3.6,11.4,0.24,0.5088515687211339,0.78,0.614865783273999,0.51,0.013618801050437553
60,6,7,10,1,4.5,6.5,0.40909090909090906,0.6147670741710989,0.9090909090909091,0.7309785937705848,0.6590909090909091,0.35413463560995606
60,7,1,14,0,2.7,11.3,0.19285714285714284,0.5545989099467361,1,0.7131247392351372,0.5964285714285714,0.31997417163241015
60,7,2,18,1,2.6,16.4,0.13684210526315788,0.5245108190696426,0.9473684210526315,0.6748277249942067,0.5421052631578948,0.11178691699969458
60,7,3,19,0,2.8,16.2,0.14736842105263157,0.5404954481792718,1,0.7014941124153111,0.5736842105263158,0.2775763478319452
60,7,4,11.2,2.8,2.2,11.8,0.15714285714285714,0.48751863354037267,0.7999999999999999,0.605563614510983,0.4785714285714286,-0.06101175124817499
60,7,5,10,1,2.8,8.2,0.2545454545454545,0.551031991744066,0.9090909090909091,0.6856983950421103,0.5818181818181818,0.20806535484900135
60,7,6,13,2,2.4,12.6,0.16,0.5087433862433862,0.8666666666666667,0.6408658131431813,0.5133333333333333,0.02355079091430891
60,7,7,11,0,1.2,9.8,0.10909090909090909,0.5297994987468672,1,0.6923521505376344,0.5545454545454546,0.2651130862916439
