"","...1","emln_id.x","train_layer","test_layer","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","train_layer_name","test_layer_name","avg_distance_m","avg_distance_km","distance_km","emln_id.y","jaccard_pollinators","jaccard_plants","jaccard_edges","avg_sorensen_plants","avg_sorensen_pollinators"
"1",1,60,1,1,13,1,3.8,10.2,0.271428571428571,0.562969979296066,0.928571428571429,0.700163604559889,0.6,0.256930156923435,"Tenerife Teno","Tenerife Teno",0,0,0,60,1,1,1,0.356862558398086,0.365774538177768
"2",2,60,1,2,18.2,0.8,2.9,16.1,0.152631578947368,0.532417407924507,0.957894736842105,0.683783529538247,0.555263157894737,0.173348827281638,"Tenerife Teno","Tenerife South",57464.1820425,57.4641820425,57.4641820425,60,0.355932203389831,0.631578947368421,0.253731343283582,0.334226864114459,0.31778859520942
"3",3,60,1,3,18,1,2.7,16.3,0.142105263157895,0.525946204034439,0.947368421052632,0.676042296586137,0.544736842105263,0.125858672785511,"Tenerife Teno","Gran Canaria",173858.830325,173.858830325,173.858830325,60,0.202702702702703,0.529411764705882,0.105263157894737,0.280815743771615,0.347849422151845
"4",4,60,1,4,10.2,3.8,3.7,10.3,0.264285714285714,0.498803827751196,0.728571428571429,0.591687462863933,0.496428571428571,-0.0118739578040834,"Tenerife Teno","Fuerteventura",337055.48055,337.05548055,337.05548055,60,0.17741935483871,0.4,0.106870229007634,0.264165727121598,0.396596874351606
"5",5,60,1,5,9.8,1.2,1.4,9.6,0.127272727272727,0.50547201336675,0.890909090909091,0.644688542825361,0.509090909090909,0.0122581373371526,"Tenerife Teno","Western Sahara",389094.179225,389.094179225,389.094179225,60,0.206896551724138,0.352941176470588,0.092436974789916,0.322055889129001,0.320477240665211
"6",6,60,1,6,14,1,2,13,0.133333333333333,0.519518027311131,0.933333333333333,0.667196582959487,0.533333333333333,0.0893203446759697,"Tenerife Teno","El Hierro",129414.4136,129.4144136,129.4144136,60,0.166666666666667,0.4375,0.0863309352517986,0.276865934524424,0.302185219180708
"7",7,60,1,7,9,2,4.7,6.3,0.427272727272727,0.591457659987072,0.818181818181818,0.685644688644689,0.622727272727273,0.264348651202099,"Tenerife Teno","La Gomera",52751.492455,52.751492455,52.751492455,60,0.0895522388059701,0.235294117647059,0.032,0.271584238901218,0.252016962629208
"8",8,60,2,1,13,1,1.4,12.6,0.1,0.508966183574879,0.928571428571429,0.657180839375961,0.514285714285714,0.0164281388634169,"Tenerife South","Tenerife Teno",57464.1820425,57.4641820425,57.4641820425,60,0.355932203389831,0.631578947368421,0.253731343283582,0.356862558398086,0.365774538177768
"9",9,60,2,2,15,4,3.4,15.6,0.178947368421053,0.49185399372106,0.789473684210526,0.605622867310776,0.484210526315789,-0.054544909110962,"Tenerife South","Tenerife South",0,0,0,60,1,1,1,0.334226864114459,0.31778859520942
"10",10,60,2,3,18,1,3,16,0.157894736842105,0.53091977410763,0.947368421052632,0.680032206786924,0.552631578947368,0.148135212870966,"Tenerife South","Gran Canaria",116460.649125,116.460649125,116.460649125,60,0.2375,0.476190476190476,0.0909090909090909,0.280815743771615,0.347849422151845
