emln_id,train_layer,test_layer,jaccard_pollinators,jaccard_plants,jaccard_edges
60,1,1,1,1,1
60,1,2,0.3559322033898305,0.631578947368421,0.2537313432835821
60,1,3,0.20270270270270271,0.5294117647058824,0.10526315789473684
60,1,4,0.1774193548387097,0.4,0.10687022900763359
60,1,5,0.20689655172413793,0.35294117647058826,0.09243697478991597
60,1,6,0.16666666666666666,0.4375,0.08633093525179857
60,1,7,0.08955223880597014,0.23529411764705882,0.032
60,2,1,0.3559322033898305,0.631578947368421,0.2537313432835821
60,2,2,1,1,1
60,2,3,0.2375,0.47619047619047616,0.09090909090909091
60,2,4,0.22058823529411764,0.375,0.1118421052631579
60,2,5,0.23076923076923078,0.2727272727272727,0.08450704225352113
60,2,6,0.23076923076923078,0.4,0.06707317073170732
60,2,7,0.09210526315789473,0.18181818181818182,0.033783783783783786
60,3,1,0.20270270270270271,0.5294117647058824,0.10526315789473684
60,3,2,0.2375,0.47619047619047616,0.09090909090909091
60,3,3,1,1,1
60,3,4,0.35294117647058826,0.75,0.2158273381294964
60,3,5,0.2535211267605634,0.2777777777777778,0.06944444444444445
60,3,6,0.2535211267605634,0.35294117647058826,0.08024691358024691
60,3,7,0.13580246913580246,0.3125,0.033783783783783786
60,4,1,0.1774193548387097,0.4,0.10687022900763359
60,4,2,0.22058823529411764,0.375,0.1118421052631579
60,4,3,0.35294117647058826,0.75,0.2158273381294964
60,4,4,1,1,1
60,4,5,0.30357142857142855,0.25,0.08264462809917356
60,4,6,0.30357142857142855,0.3157894736842105,0.06293706293706294
60,4,7,0.13432835820895522,0.2777777777777778,0.04
60,5,1,0.20689655172413793,0.35294117647058826,0.09243697478991597
60,5,2,0.23076923076923078,0.2727272727272727,0.08450704225352113
60,5,3,0.2535211267605634,0.2777777777777778,0.06944444444444445
60,5,4,0.30357142857142855,0.25,0.08264462809917356
60,5,5,1,1,1
60,5,6,0.4,0.6666666666666666,0.25688073394495414
60,5,7,0.12307692307692308,0.2857142857142857,0.036036036036036036
60,6,1,0.16666666666666666,0.4375,0.08633093525179857
60,6,2,0.23076923076923078,0.4,0.06707317073170732
60,6,3,0.2535211267605634,0.35294117647058826,0.08024691358024691
60,6,4,0.30357142857142855,0.3157894736842105,0.06293706293706294
60,6,5,0.4,0.6666666666666666,0.25688073394495414
60,6,6,1,1,1
60,6,7,0.12307692307692308,0.2857142857142857,0.03816793893129771
60,7,1,0.08955223880597014,0.23529411764705882,0.032
60,7,2,0.09210526315789473,0.18181818181818182,0.033783783783783786
60,7,3,0.13580246913580246,0.3125,0.033783783783783786
60,7,4,0.13432835820895522,0.2777777777777778,0.04
60,7,5,0.12307692307692308,0.2857142857142857,0.036036036036036036
60,7,6,0.12307692307692308,0.2857142857142857,0.03816793893129771
60,7,7,1,1,1
